"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0세","2022년08월_계_1세","2022년08월_계_2세","2022년08월_계_3세","2022년08월_계_4세","2022년08월_계_5세","2022년08월_계_6세","2022년08월_계_7세","2022년08월_계_8세","2022년08월_계_9세","2022년08월_계_10세","2022년08월_계_11세","2022년08월_계_12세","2022년08월_계_13세","2022년08월_계_14세","2022년08월_계_15세","2022년08월_계_16세","2022년08월_계_17세","2022년08월_계_18세","2022년08월_계_19세","2022년08월_계_20세","2022년08월_계_21세","2022년08월_계_22세","2022년08월_계_23세","2022년08월_계_24세","2022년08월_계_25세","2022년08월_계_26세","2022년08월_계_27세","2022년08월_계_28세","2022년08월_계_29세","2022년08월_계_30세","2022년08월_계_31세","2022년08월_계_32세","2022년08월_계_33세","2022년08월_계_34세","2022년08월_계_35세","2022년08월_계_36세","2022년08월_계_37세","2022년08월_계_38세","2022년08월_계_39세","2022년08월_계_40세","2022년08월_계_41세","2022년08월_계_42세","2022년08월_계_43세","2022년08월_계_44세","2022년08월_계_45세","2022년08월_계_46세","2022년08월_계_47세","2022년08월_계_48세","2022년08월_계_49세","2022년08월_계_50세","2022년08월_계_51세","2022년08월_계_52세","2022년08월_계_53세","2022년08월_계_54세","2022년08월_계_55세","2022년08월_계_56세","2022년08월_계_57세","2022년08월_계_58세","2022년08월_계_59세","2022년08월_계_60세","2022년08월_계_61세","2022년08월_계_62세","2022년08월_계_63세","2022년08월_계_64세","2022년08월_계_65세","2022년08월_계_66세","2022년08월_계_67세","2022년08월_계_68세","2022년08월_계_69세","2022년08월_계_70세","2022년08월_계_71세","2022년08월_계_72세","2022년08월_계_73세","2022년08월_계_74세","2022년08월_계_75세","2022년08월_계_76세","2022년08월_계_77세","2022년08월_계_78세","2022년08월_계_79세","2022년08월_계_80세","2022년08월_계_81세","2022년08월_계_82세","2022년08월_계_83세","2022년08월_계_84세","2022년08월_계_85세","2022년08월_계_86세","2022년08월_계_87세","2022년08월_계_88세","2022년08월_계_89세","2022년08월_계_90세","2022년08월_계_91세","2022년08월_계_92세","2022년08월_계_93세","2022년08월_계_94세","2022년08월_계_95세","2022년08월_계_96세","2022년08월_계_97세","2022년08월_계_98세","2022년08월_계_99세","2022년08월_계_100세 이상"
"대구광역시 북구 (2723000000)","433,551","433,551","1,878","2,103","2,367","2,560","2,942","3,227","3,635","3,787","3,708","3,827","4,040","4,043","3,719","3,756","4,100","4,166","3,939","4,093","4,700","4,915","5,266","6,114","6,813","6,251","6,384","6,305","6,015","5,892","5,729","5,631","5,605","5,175","5,131","4,986","4,673","4,807","4,930","4,834","5,256","5,834","6,438","6,612","6,641","6,285","6,176","6,349","6,517","7,278","7,934","8,086","8,173","8,544","8,290","8,444","8,191","7,726","7,476","7,319","6,481","7,464","7,018","8,069","7,283","6,519","5,658","5,667","5,134","5,084","4,253","4,163","4,126","3,232","3,299","3,579","3,259","2,909","1,871","2,292","2,464","2,568","2,628","1,980","1,854","1,624","1,389","1,236","1,035","924","690","557","456","324","235","185","134","104","50","44","22","31","42"
"대구광역시 북구 고성동(2723051000)","4,782","4,782","38","36","33","38","32","35","28","38","26","29","37","29","32","29","28","40","27","35","36","34","52","54","44","47","45","59","40","46","61","54","87","70","62","66","75","66","61","63","74","69","63","54","77","60","61","71","52","62","70","85","73","76","70","64","81","82","83","66","63","75","81","84","107","78","71","74","66","74","60","72","79","68","52","59","48","50","29","42","45","40","49","31","30","27","15","20","19","17","8","9","8","9","6","2","3","4","0","0","0","1","2"
"대구광역시 북구 칠성동(2723052600)","23,137","23,137","138","159","173","159","206","227","252","258","276","277","261","245","221","209","204","185","185","173","189","181","206","244","257","218","249","285","262","327","328","358","340","339","349","353","315","340","322","334","350","390","448","435","460","456","384","376","364","389","415","365","354","379","357","343","318","307","323","290","274","334","294","339","337","308","278","256","265","260","218","226","217","166","185","201","178","166","102","127","142","145","158","130","104","97","103","93","66","53","50","37","32","24","23","8","13","3","5","3","4","4","2"
"대구광역시 북구 침산1동(2723055000)","4,001","4,001","15","7","13","8","17","19","11","19","18","18","22","14","13","19","19","21","11","19","21","29","38","39","37","38","38","45","45","52","40","53","46","57","40","51","36","40","36","38","39","43","46","41","40","38","37","41","46","45","49","71","55","66","67","80","89","81","73","90","96","111","79","138","107","97","82","84","77","92","77","66","60","57","57","52","54","48","24","22","35","34","37","23","25","20","21","16","11","14","11","9","6","3","4","4","3","1","1","0","2","0","2"
"대구광역시 북구 침산2동(2723056000)","18,403","18,403","113","103","147","159","163","208","225","255","279","251","251","270","248","218","242","217","216","198","211","200","177","203","215","191","194","197","207","168","170","190","217","188","220","190","214","217","257","249","287","313","367","386","405","338","348","317","323","356","378","352","347","308","356","320","278","267","258","239","215","255","213","267","232","214","181","173","179","167","155","157","151","128","108","122","96","113","62","88","87","94","89","71","75","56","72","38","35","24","22","21","18","11","6","9","3","3","2","3","2","2","3"
"대구광역시 북구 침산3동(2723057000)","19,497","19,497","83","85","115","120","160","149","199","214","199","201","199","219","185","203","241","237","213","211","211","217","213","266","262","235","228","237","199","185","159","202","197","166","170","186","201","193","206","235","236","252","282","324","304","321","323","326","315","365","359","348","382","360","371","387","377","343","312","312","306","313","300","347","310","272","232","259","227","237","192","187","187","159","165","184","161","161","111","116","135","144","139","79","101","96","79","57","53","54","38","26","20","16","9","6","6","5","2","1","1","1","3"
"대구광역시 북구 산격1동(2723061000)","8,979","8,979","18","10","14","19","20","28","19","25","29","25","38","32","38","26","31","46","49","41","50","37","56","77","72","77","88","93","103","96","107","108","102","84","92","77","62","56","69","41","65","79","77","84","91","102","83","93","97","105","120","124","133","151","177","181","161","168","191","192","180","196","217","256","224","210","197","200","178","205","166","178","172","156","171","161","144","115","79","98","126","126","110","88","91","71","69","73","50","34","29","25","19","15","5","6","2","2","1","1","0","2","2"
"대구광역시 북구 산격2동(2723062000)","10,656","10,656","16","37","36","50","57","55","59","66","59","73","73","87","68","59","76","79","92","70","114","93","102","127","144","155","154","161","171","162","168","151","154","126","124","108","105","114","87","104","96","114","124","138","108","116","123","108","130","142","171","173","185","224","203","188","213","205","248","230","199","225","215","273","228","203","166","175","176","151","128","133","129","117","107","121","100","82","50","66","90","85","84","61","55","54","45","29","28","22","21","12","16","8","7","6","4","4","1","2","0","2","1"
"대구광역시 북구 산격3동(2723063000)","9,461","9,461","14","8","16","23","27","23","20","35","22","26","33","36","36","30","36","42","36","42","107","185","183","261","348","366","344","341","314","272","236","221","206","175","155","115","91","89","76","88","66","90","98","91","106","100","79","93","84","104","119","106","117","97","131","118","114","124","120","127","109","139","113","163","167","120","130","118","121","125","110","103","102","88","84","101","84","83","46","68","50","66","60","49","60","34","38","34","36","24","17","7","13","12","6","8","5","3","0","2","0","0","1"
"대구광역시 북구 산격4동(2723063100)","8,275","8,275","13","22","16","16","20","26","27","31","32","40","38","42","46","36","39","48","37","42","56","56","55","81","100","107","129","156","129","131","142","157","165","98","116","98","80","75","92","95","84","84","131","91","98","95","74","88","99","110","104","114","117","118","136","151","158","165","146","135","134","143","169","202","186","176","160","182","147","149","131","121","126","93","110","114","108","84","60","80","68","81","78","52","57","48","52","36","33","21","20","16","11","14","5","8","4","4","3","0","0","0","2"
"대구광역시 북구 대현동(2723064500)","17,225","17,225","57","56","81","93","93","103","108","105","110","124","129","129","109","101","117","99","81","105","123","141","175","266","350","394","383","288","301","265","251","188","237","189","162","193","158","167","185","181","199","219","221","244","260","226","223","235","223","252","248","262","277","263","283","271","265","285","275","262","241","299","257","316","295","271","236","260","251","253","224","226","219","174","172","213","180","143","117","169","152","157","152","149","111","100","88","87","64","64","43","36","32","24","15","14","13","9","4","1","1","2","1"
"대구광역시 북구 복현1동(2723067100)","7,574","7,574","15","21","12","17","17","16","13","13","18","18","17","24","20","21","21","25","27","27","52","115","172","198","290","298","355","312","250","260","223","191","166","157","126","94","91","82","68","84","71","88","77","76","70","70","84","59","69","84","82","99","89","112","123","112","109","119","98","108","95","108","123","121","132","92","99","91","92","88","70","61","65","56","54","63","48","40","22","28","34","37","42","27","28","22","19","15","15","19","11","10","7","6","2","3","0","2","1","1","0","0","0"
"대구광역시 북구 복현2동(2723067200)","31,023","31,023","172","173","167","202","208","250","283","284","281","262","315","292","300","298","313","300","299","309","374","405","397","480","487","461","436","444","425","441","416","417","423","424","419","449","380","365","399","367","388","451","493","503","494","468","465","436","466","476","498","552","540","577","579","574","547","536","531","496","461","527","479","573","526","479","409","420","384","358","281","295","260","179","212","211","213","170","112","127","134","136","145","99","102","84","62","89","65","58","44","33","27","22","17","14","9","7","4","4","1","1","3"
"대구광역시 북구 검단동(2723068000)","6,328","6,328","14","8","21","16","30","15","46","25","36","22","43","37","29","31","42","39","31","31","45","31","53","50","53","54","67","72","75","79","89","73","82","60","68","70","67","71","59","67","69","88","75","91","72","85","71","78","81","65","86","90","100","96","100","102","117","107","108","117","119","133","129","182","159","165","139","118","107","123","101","114","116","78","86","84","75","85","48","55","69","44","71","51","45","47","38","38","14","28","17","17","11","8","7","2","4","1","1","0","0","0","0"
"대구광역시 북구 무태조야동(2723069500)","36,018","36,018","197","261","250","261","341","381","389","365","378","344","366","406","326","342","392","359","346","396","414","379","438","472","481","418","384","393","377","362","376","413","373","367","406","404","410","427","433","443","482","596","659","628","633","580","592","623","616","711","797","790","751","825","750","776","698","660","605","507","463","542","495","563","478","498","418","451","387","381","319","332","337","283","241","260","262","200","149","170","161","169","161","128","109","95","75","71","59","59","37","28","22","19","9","13","8","6","4","4","2","0","1"
"대구광역시 북구 관문동(2723071500)","36,172","36,172","249","298","359","358","413","451","507","492","478","466","427","409","354","311","316","313","301","271","278","311","272","318","377","338","376","377","341","361","357","365","389","437","468","487","478","590","588","591","685","746","805","776","731","639","608","564","549","577","610","607","674","617","556","629","614","577","569","566","506","590","543","605","556","536","452","459","418","385","346","301","306","215","240","270","219","200","109","151","155","149","158","105","105","95","63","58","65","49","38","45","26","26","19","6","8","11","1","5","1","3","3"
"대구광역시 북구 태전1동(2723072500)","22,152","22,152","81","82","88","108","115","117","148","136","106","158","146","142","150","133","139","150","145","155","238","351","403","443","504","433","418","359","384","379","370","331","306","272","306","234","224","233","250","200","229","259","270","266","242","256","256","269","303","305","333","367","389","396","404","423","420","391","440","404","373","426","413","473","424","346","345","317","291","281","247","214","216","182","178","178","179","129","108","133","129","164","118","101","106","97","75","57","54","67","34","33","33","13","13","14","13","6","3","5","2","1","2"
"대구광역시 북구 태전2동(2723073500)","24,195","24,195","92","103","111","117","139","147","153","174","174","175","195","196","200","226","215","216","223","231","285","301","288","393","379","352","380","373","358","332","320","327","304","292","282","234","239","257","237","239","276","254","296","361","326","348","313","318","341","373","461","451","465","504","488","472","488","411","472","458","380","454","443","487","488","425","332","355","297","314","262","246","251","179","203","214","192","170","122","114","153","125","167","125","111","92","74","53","52","38","43","19","17","20","9","14","2","4","4","3","3","3","1"
